"Rojo,Verde,Azul,Clear,Matiz,Saturacion,Valor,Clase"
"206,340,403,903,199.19,0.4888,0.4463,Azul"
"319,431,416,1116,171.96,0.2599,0.3862,Azul"
"126,175,179,453,184.53,0.2961,0.3951,Azul"
"200,233,244,648,195.00,0.1803,0.3765,Azul"
"200,233,243,648,193.95,0.1770,0.3750,Azul"
"116,135,144,374,199.29,0.1944,0.3850,Azul"
"218,297,332,808,198.42,0.3434,0.4109,Azul"
"108,141,162,382,203.33,0.3333,0.4241,Azul"
"172,399,451,992,191.18,0.6186,0.4546,Azul"
"107,222,254,554,193.06,0.5787,0.4585,Azul"
"630,939,902,2419,172.82,0.3291,0.3882,Azul"
"167,227,226,576,179.00,0.2643,0.3941,Azul"
"72,111,200,335,221.72,0.6400,0.5970,Azul"
"53,73,129,217,224.21,0.5891,0.5945,Azul"
"1155,1368,1015,3472,96.20,0.2580,0.3940,Azul"
"325,385,301,972,102.86,0.2182,0.3961,Azul"
"128,139,120,353,94.74,0.1367,0.3938,Azul"
"102,106,92,268,77.14,0.1321,0.3955,Azul"
"556,142,126,722,2.23,0.7734,0.7701,Rojo"
"484,125,113,627,1.94,0.7665,0.7719,Rojo"
"709,236,387,1175,340.85,0.6671,0.6034,Rojo"
"424,130,227,706,340.20,0.6934,0.6006,Rojo"
"709,191,167,937,2.66,0.7645,0.7567,Rojo"
"371,104,93,484,2.37,0.7493,0.7665,Rojo"
"256,66,58,331,2.42,0.7734,0.7734,Rojo"
"490,124,103,646,3.26,0.7898,0.7585,Rojo"
"1056,315,281,1482,2.63,0.7339,0.7126,Rojo"
"302,97,90,411,1.98,0.7020,0.7348,Rojo"
"493,166,129,689,6.10,0.7383,0.7155,Rojo"
"217,78,65,290,5.13,0.7005,0.7483,Rojo"
"647,162,171,855,358.89,0.7496,0.7567,Rojo"
"168,55,58,215,358.41,0.6726,0.7814,Rojo"
"336,511,227,1037,96.97,0.5558,0.4928,Verde"
"189,263,126,531,92.41,0.5209,0.4953,Verde"
"258,326,152,697,83.45,0.5337,0.4677,Verde"
"109,134,70,289,83.44,0.4776,0.4637,Verde"
"63,83,52,169,98.71,0.3735,0.4911,Verde"
"46,54,36,107,86.67,0.3333,0.5047,Verde"
"173,299,148,586,110.07,0.5050,0.5102,Verde"
"62,83,50,157,98.18,0.3976,0.5287,Verde"
"237,308,211,645,103.92,0.3149,0.4775,Verde"
"107,110,94,206,71.25,0.1455,0.5340,Verde"
"162,303,230,641,148.94,0.4653,0.4727,Verde"
"58,76,64,147,140.00,0.2368,0.5170,Verde"
"150,201,119,408,97.32,0.4080,0.4926,Verde"
"68,71,54,132,70.59,0.2394,0.5379,Verde"
"306,506,588,1327,197.45,0.4796,0.4431,Azul"
"118,148,167,358,203.27,0.2934,0.4665,Azul"
"428,551,518,1408,163.90,0.2232,0.3913,Azul"
"101,106,101,252,120.00,0.0472,0.4206,Azul"
"84,123,228,379,223.75,0.6316,0.6016,Azul"
"48,48,72,120,240.00,0.3333,0.6000,Azul"
"747,865,645,2177,92.18,0.2543,0.3973,Azul"
"217,234,182,574,79.62,0.2222,0.4077,Azul"
"654,1038,1034,2711,179.37,0.3699,0.3829,Azul"
"110,126,121,324,161.25,0.1270,0.3889,Azul"
"131,140,179,414,228.75,0.2682,0.4324,Azul"
"41,35,41,85,300.00,0.1463,0.4824,Azul"
"155,166,142,424,87.50,0.1446,0.3915,Azul"
"54,48,43,111,27.27,0.2037,0.4865,Azul"
"432,735,404,1583,114.92,0.4503,0.4643,Verde"
"395,660,377,1437,116.18,0.4288,0.4593,Verde"
"148,293,169,568,128.69,0.4949,0.5158,Verde"
"207,440,254,877,132.10,0.5295,0.5017,Verde"
"163,267,171,559,124.62,0.3895,0.4776,Verde"
"164,265,171,560,124.16,0.3811,0.4732,Verde"
"301,499,251,1069,107.90,0.4970,0.4668,Verde"
"444,672,341,1481,101.33,0.4926,0.4537,Verde"
"209,398,246,834,131.75,0.4749,0.4772,Verde"
"333,604,361,1292,126.20,0.4487,0.4675,Verde"
"523,773,431,1713,103.86,0.4424,0.4513,Verde"
"400,611,346,1333,107.77,0.4337,0.4584,Verde"
"224,353,273,791,142.79,0.3654,0.4463,Verde"
"491,763,537,1754,130.15,0.3565,0.4350,Verde"
"274,443,317,992,135.27,0.3815,0.4466,Verde"
"917,336,556,1717,337.28,0.6336,0.5341,Rojo"
"1414,418,815,2727,336.08,0.7044,0.5185,Rojo"
"379,164,139,648,6.25,0.6332,0.5849,Rojo"
"271,130,107,484,8.41,0.6052,0.5599,Rojo"
"654,240,214,1021,3.55,0.6728,0.6405,Rojo"
"333,142,128,540,4.10,0.6156,0.6167,Rojo"
"594,296,277,1102,3.60,0.5337,0.5390,Rojo"
"568,278,261,1040,3.32,0.5405,0.5462,Rojo"
"359,120,109,530,2.64,0.6964,0.6774,Rojo"
"267,120,111,413,3.46,0.5843,0.6465,Rojo"
"1363,523,508,2234,1.05,0.6273,0.6101,Rojo"
"659,285,286,1149,359.84,0.5675,0.5735,Rojo"
"245,157,133,508,12.86,0.4571,0.4823,Rojo"
"566,303,239,1066,11.74,0.5777,0.5310,Rojo"
"528,286,228,1002,11.60,0.5682,0.5269,Rojo"
"317,552,598,1446,189.82,0.4699,0.4136,Azul"
"303,494,503,1283,182.70,0.3976,0.3920,Azul"
"412,490,499,1458,186.21,0.1743,0.3422,Azul"
"422,518,529,1527,186.17,0.2023,0.3464,Azul"
"572,858,701,2089,147.06,0.3333,0.4107,Azul"
"786,1092,869,2725,136.27,0.2802,0.4007,Azul"
"120,238,507,822,221.71,0.7633,0.6168,Azul"
"121,230,483,773,221.93,0.7495,0.6248,Azul"
"197,231,251,599,202.22,0.2151,0.4190,Azul"
"181,222,244,564,200.95,0.2582,0.4326,Azul"
"151,310,363,760,195.00,0.5840,0.4776,Azul"
"191,414,483,1030,194.18,0.6046,0.4689,Azul"
"133,215,263,593,202.15,0.4943,0.4435,Azul"
"128,205,249,563,201.82,0.4859,0.4423,Azul"
"329,116,164,473,346.48,0.6474,0.6956,Rojo"
"315,112,163,458,344.93,0.6444,0.6878,Rojo"
"455,130,120,607,1.79,0.7363,0.7496,Rojo"
"506,140,128,671,1.90,0.7470,0.7541,Rojo"
"201,78,73,280,2.34,0.6368,0.7179,Rojo"
"138,64,61,190,2.34,0.5580,0.7263,Rojo"
"394,164,160,590,1.03,0.5939,0.6678,Rojo"
"234,115,114,348,0.50,0.5128,0.6724,Rojo"
"737,216,191,1005,2.75,0.7408,0.7333,Rojo"
"213,94,90,282,1.95,0.5775,0.7553,Rojo"
"589,179,144,814,4.72,0.7555,0.7236,Rojo"
"429,127,106,575,3.90,0.7529,0.7461,Rojo"
"313,120,115,397,1.52,0.6326,0.7884,Rojo"
"193,95,94,237,0.61,0.5130,0.8143,Rojo"
"270,386,186,789,94.80,0.5181,0.4892,Verde"
"126,158,96,315,90.97,0.3924,0.5016,Verde"
"132,208,118,393,110.67,0.4327,0.5293,Verde"
"84,101,75,182,99.23,0.2574,0.5549,Verde"
"125,148,85,312,81.90,0.4257,0.4744,Verde"
"106,131,77,252,87.78,0.4122,0.5198,Verde"
"115,143,91,287,92.31,0.3636,0.4983,Verde"
"76,84,62,154,81.82,0.2619,0.5455,Verde"
"138,196,119,412,105.19,0.3929,0.4757,Verde"
"78,99,66,203,98.18,0.3333,0.4877,Verde"
"270,313,185,663,80.16,0.4089,0.4721,Verde"
"180,199,131,397,76.76,0.3417,0.5013,Verde"
"109,132,94,281,96.32,0.2879,0.4698,Verde"
"132,168,116,360,101.54,0.3095,0.4667,Verde"
"319,344,275,842,81.74,0.2006,0.4086,Azul"
"146,141,123,363,46.96,0.1575,0.4022,Azul"
"83,75,70,164,23.08,0.1566,0.5061,Azul"
"122,149,260,430,228.26,0.5308,0.6047,Azul"
"99,107,169,271,233.14,0.4142,0.6236,Azul"
"142,200,229,511,200.00,0.3799,0.4481,Azul"
"168,245,283,636,199.83,0.4064,0.4450,Azul"
"174,190,186,453,165.00,0.0842,0.4194,Azul"
"183,212,206,524,167.59,0.1368,0.4046,Azul"
"504,668,632,1716,166.83,0.2455,0.3893,Azul"
"160,338,380,866,191.45,0.5789,0.4388,Azul"
"123,236,264,574,191.91,0.5341,0.4599,Azul"
"277,330,364,897,203.45,0.2390,0.4058,Azul"
"112,115,126,261,227.14,0.1111,0.4828,Azul"
